nohup: ignoring input
J = 0.0
After sweep 28 energy=-34.497273489795205  maxlinkdim=2000 maxerr=1.62E-06 time=100.042
After sweep 29 energy=-34.49727349349157  maxlinkdim=2000 maxerr=1.62E-06 time=148.336
After sweep 30 energy=-34.4972734936277  maxlinkdim=2000 maxerr=1.62E-06 time=126.306
J = 2.05
After sweep 1 energy=-29.678748749536975  maxlinkdim=10 maxerr=7.13E-03 time=2.586
After sweep 2 energy=-32.57548998885839  maxlinkdim=20 maxerr=5.07E-03 time=3.810
After sweep 3 energy=-33.57634106162011  maxlinkdim=40 maxerr=3.09E-03 time=4.866
After sweep 4 energy=-34.285258573302535  maxlinkdim=75 maxerr=1.77E-03 time=5.489
After sweep 5 energy=-34.740154425473015  maxlinkdim=100 maxerr=1.29E-03 time=6.546
After sweep 6 energy=-35.07229108772651  maxlinkdim=150 maxerr=1.14E-03 time=7.441
After sweep 7 energy=-35.17234934056406  maxlinkdim=200 maxerr=6.89E-04 time=7.978
After sweep 8 energy=-35.20512675135043  maxlinkdim=250 maxerr=3.66E-04 time=8.907
After sweep 9 energy=-35.2188131065249  maxlinkdim=300 maxerr=2.73E-04 time=9.701
After sweep 10 energy=-35.22506656065139  maxlinkdim=350 maxerr=2.29E-04 time=10.448
After sweep 11 energy=-35.22856109749709  maxlinkdim=400 maxerr=1.72E-04 time=11.780
After sweep 12 energy=-35.23234368346627  maxlinkdim=500 maxerr=1.35E-04 time=13.811
After sweep 13 energy=-35.23432704476095  maxlinkdim=600 maxerr=9.92E-05 time=14.345
After sweep 14 energy=-35.23562501915041  maxlinkdim=700 maxerr=6.54E-05 time=16.974
After sweep 15 energy=-35.23647474203969  maxlinkdim=800 maxerr=4.17E-05 time=20.520
After sweep 16 energy=-35.236996308696966  maxlinkdim=900 maxerr=2.79E-05 time=23.668
After sweep 17 energy=-35.23731780044344  maxlinkdim=1000 maxerr=2.01E-05 time=29.448
After sweep 18 energy=-35.23753220620231  maxlinkdim=1100 maxerr=1.52E-05 time=32.633
After sweep 19 energy=-35.237682775267686  maxlinkdim=1200 maxerr=1.17E-05 time=37.315
After sweep 20 energy=-35.2377828333822  maxlinkdim=1300 maxerr=9.39E-06 time=46.345
